job_cluster,skills_filtered,job_level,job_title
Customer Service & Sales,"['financial management', 'customer service', 'sales', 'team leadership', 'risk management', 'banking operations', 'communication', 'analytical skills', 'decision making', 'credit analysis', 'consultative sales', 'financial planning', 'community involvement', 'microsoft office', 'banking software', 'financial planning software']",Mid senior,Financial Center Manager II
Problem Solving,"['strong attention to detail', 'strong organizational', 'strong analytical', 'problem solving']",Mid senior,Senior Compliance Analyst
Collaboration,"['data analysis', 'statistical analysis', 'grant writing', 'budget management', 'communication', 'data collection', 'evaluation', 'data interpretation', 'report writing', 'public speaking', 'team leadership', 'problem solving', 'critical thinking', 'collaboration', 'communication', 'attention to detail', 'project management', 'technical writing', 'microsoft office', 'statistical software', 'database software', 'project management software']",Mid senior,Senior Research Portfolio Manager
Customer Service & Sales,"['banking', 'relationship management', 'strategic planning', 'business development', 'sales leadership', 'profitability', 'relationship building', 'client acquisition', 'community engagement', 'risk mitigation', 'compliance', 'regulatory changes', 'loan portfolio management', 'credit analysis', 'financial reporting', 'customer service', 'professional communication', 'teamwork', 'attendance', 'company policies', 'information security', 'information technology', 'glba', 'lending', 'sales management', 'supervisory', 'adaptability', 'communication', 'decision making', 'initiative', 'innovation', 'motivation', 'organization', 'professionalism', 'results orientation']",Mid senior,Commercial Banking Manager
Auditing,"['auditing', 'ar', 'ap', 'procurement', 'microsoft office', 'excel', 'access', 'powerpoint', 'database', 'pivot tables', 'accounting', 'data analysis']",Mid senior,Senior Analyst - Auditor
Attention to Detail,"['regulatory compliance', 'process review', 'controls', 'risk management', 'annuities', 'communication', 'communication', 'presentation', 'risk management', 'mathematical', 'attention to detail']",Mid senior,Sr. Compliance Analyst
Collaboration,"['cybersecurity', 'information systems', 'computer science', 'risk assessment', 'incident response', 'compliance', 'information security', 'assurance', 'iso 27001', 'nist', 'gdpr', 'microsoft office', 'problem solving', 'communication', 'teamwork', 'adaptability', 'flexibility', 'collaboration', 'attention to detail', 'documentation', 'communication', 'leadership']",Mid senior,Technology Risk and Compliance Analyst
Accounting,"['itar', 'ear', 'ofac', 'mba', 'jd', 'lean manufacturing', 'background check']",Mid senior,Export Compliance Manager
Customer Service & Sales,"['customer service', 'leadership', 'communication', 'microsoft office', 'sitting', 'kneeling', 'pulling', 'pushing', 'speaking', 'writing']",Mid senior,Maintenance Manager (Regulatory Compliance and Safety)Manager
Financial Reporting,"['finance', 'accounting', 'sap', 'excel', 'pivottables', 'word', 'outlook', 'variance analysis', 'financial reporting', 'cash flow forecasting', 'budget planning', 'inventory management', 'problem solving', 'analytical skills', 'communication', 'teamwork', 'time management', 'attention to detail', 'strong work ethic']",Associate,Finance Business Partner - Product Line
Financial Analysis,"['financial analysis', 'claims processing', 'coding', 'data analysis', 'supervisory', 'business administration', 'finance', 'health care', 'staff development', 'performance feedback', 'benchmarks', 'contract negotiations', 'business development', 'audit', 'monthly reports', 'ad hoc reports', 'operational analysis', 'collaboration', 'coordination', 'performance management', 'performance feedback', 'mentoring', 'training']",Mid senior,Senior Manager of Finance Operations
Financial Analysis,"['financial analysis', 'budgeting', 'forecasting', 'data analysis', 'accounting principles', 'financial planning', 'corporate accounting', 'finance', 'analytical skills', 'statistical', 'problem solving', 'reporting']",Mid senior,Financial Analyst II
Financial Analysis,"['financial analysis', 'client management', 'industry trends', 'reporting', 'data analysis', 'modeling', 'pricing', 'valuation', 'project management', 'consulting', 'communication', 'collaboration', 'data warehouse', 'system development', 'efficiency improvement', 'medical', 'vision', 'pto', 'parental leave', 'hybrid work environment']",Mid senior,Senior Financial Analyst
MS Office,"['python', 'sql', 'excel', 'git', 'aws', 'coding', 'automation', 'risk']",Mid senior,"Analyst, Investment Quantitative Developer"
Multitasking,"['analytical skills', 'finance', 'excel', 'business', 'finance', 'senior leadership', 'effective communication', 'detail oriented', 'multitasking', 'us citizenship']",Mid senior,Senior Financial Analyst
Data Analysis,"['risk analysis', 'risk reporting', 'data analysis', 'data quality', 'data integrity', 'reporting', 'sas', 'sql', 'credit risk', 'microsoft office', 'communication', 'analytical skills']",Mid senior,Graduate Risk Reporting Analyst
Financial Analysis,"['financial analysis', 'modelling', 'strategy', 'business development', 'written and oral communication', 'communication', 'teamwork', 'excel', 'powerpoint', 'intellectual curiosity', 'analytical skills', 'fast paced environment', 'flexibility', 'adaptability', 'selfstarter', 'work ethic', 'client service', 'hybrid work', 'benefits', 'equal employment opportunities']",Associate,"Sr. Financial Analyst, Pricing & Strategy"
Data Analysis,"['financial planning and analysis', 'budgeting', 'forecasting', 'reporting', 'variance analysis', 'financial modeling', 'presentation', 'data analysis', 'business analysis', 'excel', 'powerpoint', 'tableau', 'accounting principles', 'tax compliance', 'sarbanesoxley sox']",Mid senior,Financial Project Manager
Data Analysis,"['excel', 'power bi', 'data analysis', 'banking regulations', 'capital markets']",Mid senior,Treasury Analyst
Financial Analysis,"['margin analysis', 'data management', 'report generation', 'financial analysis', 'excel', 'data analysis', 'analytical skills', 'modelling', 'problem solving']",Mid senior,Interim Finance Business Partner
MS Office,"['microsoft office', 'servicenow', 'jira', 'confluence', 'oracle', 'sql', 'aws', 'azure', 'oracle cloud', 'workday', 'archer', 'information technology', 'computer science', 'accounting', 'finance', 'business administration', 'certified information systems auditor cisa', 'certified internal auditor cia', 'certified public accountant cpa']",Mid senior,"AP - Internal Audit, IT and Security"
Collaboration,"['investment banking', 'commercial banking', 'mergers acquisitions', 'private equity', 'business administration', 'accounting', 'finance', 'finra series 63', 'sie', 'communication', 'presentation', 'collaboration', 'leadership', 'relationship building', 'business development', 'due diligence', 'legal documentation', 'reporting', 'client advisory', 'deal execution']",Mid senior,Relationship Manager - Middle Market Financial Sponsors Group - Vice President
Communication,"['communication', 'problem solving', 'troubleshooting', 'professional demeanor', 'team player', 'physical stamina']",Mid senior,Inventory Auditor
Financial Analysis,"['accounting', 'financial analysis', 'budgeting', 'forecasting', 'strategic planning', 'business trends', 'financial reporting', 'financial statements', 'hyperion', 'advanced excel', 'modeling', 'presentation', 'influencing', 'analytical skills', 'organization', 'data analysis']",Mid senior,Senior Financial Analyst
Financial Analysis,"['investment banking', 'capital markets', 'ma', 'equity', 'financial modeling', 'valuation', 'due diligence', 'mba', 'team player']",Mid senior,Investment Banking Consumer Vice President (or Senior Associate)
MS Office,"['auditing', 'claims processing', 'medical terminology', 'cpt', 'hcpcs', 'microsoft office', 'word', 'excel', 'access', 'adobe', 'outlook', 'driving', 'travel']",Mid senior,Benefits Configuration Auditor
MS Office,"['financial management', 'financial review', 'forecasting', 'analysis', 'financial guidance', 'costpoint', 'sap', 'erp', 'pivot tables', 'vlookup', 'excel', 'powerpoint', 'us citizenship', 'security clearance', 'problem solving', 'communication', 'graduate degree']",Mid senior,"Sr. Specialist, Program Finance with Security Clearance"
Accounting Operations,"['credit analysis', 'accounts receivable', 'billing', 'cash management', 'customer relations', 'sales']",Mid senior,Regional Credit Manager
Financial Analysis,"['financial management', 'financial forecasting', 'financial reporting', 'financial analysis', 'costpoint', 'sap', 'erp', 'pivot tables', 'vlookup', 'excel', 'powerpoint', 'analytical skills', 'problem solving', 'communication', 'us citizenship']",Mid senior,"Sr. Specialist, Program Finance"
Time Management & Organization,"['oracle erp', 'accounting principles', 'functional specifications', 'service now', 'initiative', 'time management', 'budget management', 'quality management']",Mid senior,Oracle ERP Analyst - Financial Services
MS Office,"['budget analysis', 'excel', 'multitasking', 'analytical skills', 'financial management', 'microsoft office']",Mid senior,Program Financial Analyst
