job_cluster,skills_filtered,job_level,job_title
Project Management,"['digital transformation', 'business cases', 'project management', 'stakeholder management', 'industry trends', 'problem solving', 'communication', 'analytics', 'agile development', 'policy development', 'risk management', 'forecasting', 'economic analysis', 'training', 'hiring']",Mid senior,Cons Prod Strategy Mgr ll
MS Office,"['accounting', 'financial reporting', 'auditing', 'advanced excel', 'microsoft access']",Associate,Corporate Accounting Consultant with Work/Life Balance
Business Development & Customer Acquisition,"['project management', 'strategic account management', 'business development', 'sales', 'negotiation', 'presentation', 'market research', 'healthcare industry', 'communication', 'teamwork', 'resultsoriented', 'customercentric approach', 'sales targets']",Mid senior,Strategic Account Executive
Problem Solving,"['sales', 'strategic account management', 'talent acquisition', 'talent management', 'problem solving', 'relationship building', 'fastpaced environment', 'selfstarter', 'ownership', 'transparency', 'support', '401k plan']",Mid senior,Strategic Account Executive
Retail & Service,"['salesforce', 'communication', 'customer service', 'outbound calling', 'sales consulting', 'sales and marketing']",Associate,Remote Inside Sales Consultant
Formal Qualifications & Degrees,"['enterprise sales', 'ai', 'big data', 'advanced analytics', 'customer relationship management', 'salesforce', 'solution selling', 'field sales', 'cloud technologies', 'sales quotas', 'bachelors degree', 'paid parental leave', 'employee assistance program', 'diversity and inclusion', 'equal employment opportunity']",Mid senior,Strategic Enterprise Account Executive
MS Office,"['accounting', 'bookkeeping', 'invoicing', 'excel']",Mid senior,Finance Accounting Consultant
Negotiation,"['sales development', 'contract compliance', 'strategic planning', 'marketing', 'renewable energy', 'lighting', 'project management', 'sap', 'pricing strategies', 'oral and written communication', 'negotiation', 'public speaking', 'strategic thinking', 'time management', 'budget management', 'results orientation', 'office environment', 'remote work']",Mid senior,Strategic Account Manager - OMNIA Partners Public Sector
Communication,"['pwc professional', 'us gaap', 'consolidation', 'transfers of financial assets', 'derivatives', 'hedging', 'debt', 'equity', 'foreign exchange', 'securitizations', 'investment accounting', 'transfer accounting', 'private placements', 'post deal accounting', 'restructurings', 'change in accounting standards', 'capital markets', 'technical accounting', 'globalization', 'diversity', 'communication', 'affirmative action', 'equal opportunity employer']",Mid senior,"Financial Markets & Real Estate - Accounting Advisory, Manager"
Business Development & Customer Acquisition,"['sales', 'marketing', 'engineering', 'business administration', 'agriculture', 'automotive', 'consultative selling', 'presentation', 'microsoft products', 'salesforce crm', 'strategic planning', 'market analysis', 'account management', 'customer communication', 'competitive analysis', 'customer service']",Mid senior,Strategic Account Manager
Analytical Thinking,"['consulting', 'accounting', 'finance', 'accounts payable', 'accounts receivable', 'payroll', 'general ledger', 'accounting standards', 'crossfunctional teams', 'bachelors degree', 'accounting', 'gaap', 'microsoft excel', 'accounting software', 'detailoriented', 'analytical skills', 'problem solving', 'communication', 'communication', 'teamwork', 'time management', 'deadline management']",Mid senior,Staff Accountant Consultant
Teamwork,"['tax planning', 'sharepoint', 'alteryx', 'data mining', 'ms excel', 'ms access', 'data analytics', 'tax research', 'technical writing', 'business writing', 'organization', 'project management', 'communication', 'communication', 'teamwork', 'supervision', 'quantitative analysis', 'decision making', 'continuous learning', 'leadership', 'diversity', 'inclusion']",Mid senior,National Tax - Federal Tax Advisory - Manager
MS Office,"['payroll', 'accounts payable', 'bookkeeping', 'invoicing', 'collection', 'erp', 'excel', 'microsoft office']",Mid senior,Finance Accounting Consultant
Formal Qualifications & Degrees,"['strategic account management', 'account management', 'microsoft office', 'entrepreneurial spirit', 'bachelors degree']",Mid senior,"Strategic Accounts Lead - Pain BU, East Central"
Sales,"['account executive', 'sales', 'written and verbal communication', 'multitasking', 'fulltime', 'travel', 'base salary', 'medical benefits', '401k savings plan', 'equal opportunity employer']",Mid senior,"Account Executive, Strategic Accounts"
Analytical Thinking,"['account management', 'it project management', 'customer relationship management', 'technical consulting', 'proposal writing', 'presentation', 'communication', 'team collaboration', 'problem solving', 'critical thinking', 'analytical skills', 'organization', 'time management', 'strong work ethic', 'bachelors degree']",Mid senior,Technical Account Manager - Technology Advisor
Sales,"['sales', 'strategic thinking', 'revenue growth', 'client relationship management', 'customer engagement', 'cloud migration', 'data management', 'client satisfaction', 'client feedback', 'medical benefits', 'dental benefits', 'us work authorization', 'diversity inclusion', 'transparency', 'team collaboration', 'feedback', 'hybrid work schedule']",Mid senior,Strategic Account Manager
Teamwork,"['strategic account management', 'enterprise sales', 'networking', 'artificial intelligence', 'routing', 'security', 'salesforcecom', 'communication', 'leadership', 'teamwork', 'prioritization', 'organization', 'travel']",Mid senior,"Strategic Account Manager/ Chicago, IL"
Formal Qualifications & Degrees,"['environmental science', 'engineering', 'relationship management', 'communication', 'report writing', 'microsoft office', 'customer service', 'travel', 'time management', 'physical requirements', 'bachelors degree', 'osha']",Mid senior,Environmental Health & Safety Consultant
Negotiation,"['enterprise sales', 'saas', 'negotiation', 'forecasting', 'customer relationship management', 'sales training', 'professional development', 'remote work', 'diversity and inclusion', 'employee benefits', 'cloud migration', 'software development', 'engineering', 'devops', 'data analytics', 'data visualization', 'business intelligence', 'agile methodology', 'scrum', 'kanban', 'jira', 'confluence', 'git']",Mid senior,Strategic Account Executive (Greater Central)
Business Development & Customer Acquisition,"['tax preparation', 'bookkeeping', 'financial acumen', 'spreadsheet software', 'accounting software', 'conflict resolution', 'client relationship management', 'remote work', 'flexible schedule', 'cpa certification']",Associate,"Tax Advisor, Remote, (FT/PT)"
Negotiation,"['sales', 'account management', 'business development', 'customer relationship management', 'logistics', 'shipping', 'healthcare', 'crm', 'data analysis', 'problem solving', 'communication', 'negotiation', 'strategic thinking', 'adaptability', 'leadership', 'microsoft office', 'bachelors degree', 'travel']",Associate,"Territory Consultant, OptiFreight Logistics"
Analytical Thinking,"['french', 'english', 'conflict resolution', 'critical thinking', 'analytical skills', 'organization', 'time management', 'project management', 'communication', 'communication', 'communication', 'communication', 'active listening', 'persuasion', 'problem solving', 'decision making', 'adaptability', 'teamwork', 'leadership', 'consulting', 'employee relations', 'problem analysis', 'performance management']",Mid senior,Conseillère bilingue en ressources humaines- bilingue /HR Advisor - Bilingual
Collaboration,"['business development', 'client management', 'relationship management', 'sales', 'data analysis', 'sales strategy', 'executive presence', 'communication', 'problem solving', 'collaboration', 'project management', 'account management', 'customer service', 'process improvement', 'pricing', 'sales performance', 'customer acquisition', 'distribution', 'executive presence', 'travel', 'bachelors degree', 'healthcare', 'critical thinking', 'entrepreneurial mindset', 'medical dental and vision coverage', 'health savings account hsa', '401k savings plan', 'paid parental leave', 'military', 'equal opportunity employer']",Associate,Senior Business Development Consultant - Independent Reference Lab
Analytical Thinking,"['microsoft excel', 'sql', 'access', 'powerpoint', 'outlook', 'data analytics', 'pricing strategies', 'data management', 'contract management', 'financial analysis', 'critical thinking', 'analytical skills', 'communication', 'teamwork', 'multitasking', 'organization', 'problem solving', 'fastpaced environment', 'computer science']",Associate,Senior Financial Analyst - Healthcare Consultant
Business Development & Customer Acquisition,"['strategic account management', 'sales', 'business development', 'account management', 'client relationship management', 'problem solving', 'communication', 'babs degree', 'base salary', '401k', 'profit sharing']",Associate,Strategic Account Manager
Analytical Thinking,"['client management', 'account management', 'consulting', 'project management', 'problem solving', 'analytical skills', 'communication', 'communication', 'energy', 'enthusiasm', 'leadership', 'data analysis', 'microsoft excel', 'microsoft access', 'performance reviews', 'benchmarking', 'advocacy', 'professional development', 'adaptability', 'resilience']",Mid senior,Fleet Consulting Executive
Retail & Service,"['strategic mindset', 'sales targets', 'cifp diploma', 'relationshipbuilding', 'banking', 'investments', 'financial strategies', 'customer service']",Mid senior,Senior Financial Advisor [Scotiabank]
